total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_partners,total_busy_partners,total_outstanding_orders,time_diff,market_id,store_id,store_primary_category,order_protocol
9,9750,7,600,975,8,8,10,3937,5,794,53,7
2,1775,2,700,1075,8,9,11,1765,5,794,53,7
3,2800,3,400,1200,14,10,9,2170,5,794,53,7
3,3175,1,975,975,27,26,42,2844,5,794,53,7
3,4075,3,975,975,15,8,10,2816,5,794,53,7
2,2000,2,600,975,16,16,27,1889,5,794,53,7
4,3365,4,788,992,22,18,23,2159,5,794,53,7
6,7175,4,825,975,14,11,14,2159,5,794,53,7
2,1275,2,500,975,21,13,21,2448,5,794,53,7
1,1500,1,975,975,15,5,5,2123,5,794,53,7
1,1275,1,975,975,25,25,49,3547,5,794,53,7
2,2250,2,975,975,15,14,18,1724,5,794,53,7
1,1100,1,800,800,26,11,20,2760,5,794,53,7
2,2500,2,975,975,6,6,6,1617,5,794,53,7
1,1325,1,975,975,8,6,7,1083,5,794,53,7
2,1300,2,600,700,6,7,10,2901,5,794,53,7
2,2200,1,975,975,24,10,16,2127,5,794,53,7
1,1200,1,1200,1200,4,4,5,2648,5,794,53,7
9,7225,8,250,1250,0,0,0,4445,2,5800,19,7
