total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_partners,total_busy_partners,total_outstanding_orders,time_diff,market_id,store_id,store_primary_category,order_protocol
4,4300,4,1200,1500,1,1,1,2786,3,6346,1,4
4,4986,4,699,2362,16,6,9,2282,3,6346,1,4
2,595,2,200,295,5,1,1,1751,1,759,17,4
4,3250,4,725,945,29,29,32,3837,3,4976,22,4
3,2600,3,685,800,60,59,56,3025,3,4497,49,4
4,4800,2,675,1325,8,8,8,2396,2,5770,49,4
2,975,2,280,695,5,6,9,4821,5,1046,15,4
6,2114,3,200,440,12,12,12,1738,5,1046,15,4
5,1590,4,200,440,3,4,4,2824,5,1046,15,4
1,990,1,940,940,5,4,5,3057,5,1046,15,4
4,1309,4,190,659,6,7,6,2513,5,1046,15,4
2,1120,1,410,410,21,10,21,2897,5,1046,15,4
3,3137,2,825,1036,29,31,46,4120,5,1046,15,4
4,1364,4,180,440,11,10,12,3376,5,1046,15,4
1,990,1,940,940,15,9,12,2994,5,1046,15,4
3,582,1,194,194,6,5,4,1592,3,2221,1,4
5,980,2,194,199,1,1,3,3448,3,2221,1,4
2,2500,2,1200,1300,25,26,36,3588,1,4350,6,4
6,1702,4,164,555,8,9,11,2581,1,3714,25,4
9,2153,6,149,219,4,6,5,4319,1,3714,25,4
1,1250,1,1250,1250,31,25,25,2051,1,536,38,4
2,1597,2,299,1099,45,42,58,2039,6,5969,61,4
3,1167,3,189,559,4,4,7,3172,3,3,53,4
3,987,3,169,559,6,6,11,2655,3,3,53,4
2,808,2,279,529,4,4,6,6233,3,3,53,4
2,898,2,369,529,14,9,9,2339,3,3,53,4
1,699,1,699,699,19,19,30,2306,3,1112,73,4
4,2275,4,189,998,7,6,10,2189,3,4742,49,4
5,1780,5,189,499,16,16,15,3248,3,4742,49,4
6,2052,5,75,1049,10,9,9,2015,1,5258,30,4
1,2699,1,2699,2699,12,12,10,2190,1,5258,30,4
