total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_partners,total_busy_partners,total_outstanding_orders,time_diff,market_id,store_id,store_primary_category,order_protocol
2,575,2,225,350,45,42,58,1855,6,1935,12,2
5,1415,3,185,675,45,42,58,4190,6,1935,12,2
1,650,1,650,650,45,42,58,3422,6,1935,12,2
5,1550,5,225,700,45,42,58,7392,6,1935,12,2
6,1110,5,185,185,45,42,58,3368,6,1935,12,2
8,2115,8,150,650,45,42,58,2527,6,1935,12,2
2,1741,2,889,772,45,42,58,2480,6,1935,12,2
7,2250,2,225,900,45,42,58,4058,6,1935,12,2
1,3900,1,3900,3900,45,42,58,4989,6,1935,12,2
3,3125,2,700,1150,0,0,0,3955,6,2430,49,3
4,3575,4,400,925,45,42,58,3088,6,2040,61,1
2,2374,2,979,1048,45,42,58,1482,6,2040,61,1
7,2503,4,0,1199,45,42,58,3070,6,5969,61,1
5,1997,5,179,649,45,42,58,1641,6,5969,61,1
3,1274,3,0,375,45,42,58,1463,6,5969,61,1
2,1798,1,899,899,45,42,58,1493,6,5969,61,1
2,2497,2,999,1199,45,42,58,2046,6,5969,61,1
2,1597,2,299,1099,45,42,58,2039,6,5969,61,4
1,1048,1,699,699,45,42,58,1581,6,5969,61,1
2,1199,2,300,899,45,42,58,1907,6,5969,61,1
2,2390,2,1095,1295,45,42,58,1734,6,900,43,1
1,1008,1,849,849,39,39,59,2364,6,1112,17,3
3,2600,3,750,1000,45,42,58,2602,6,6329,8,1
2,1750,2,750,1000,45,42,58,3219,6,6329,8,1
3,2400,3,700,900,45,42,58,4446,6,6329,8,1
3,2550,3,750,1000,45,42,58,1783,6,6329,8,1
3,2600,3,750,1000,45,42,58,2811,6,6329,8,1
2,1935,2,900,1035,45,42,58,2602,6,6329,8,1
1,1000,1,1000,1000,45,42,58,1894,6,6329,8,1
3,1900,3,450,750,45,42,58,1821,6,6329,8,1
5,3950,4,650,1000,45,42,58,2856,6,6329,8,1
3,2550,3,750,1000,45,42,58,3047,6,6329,8,1
2,1600,2,700,900,45,42,58,2144,6,6329,8,1
3,2400,3,650,1000,45,42,58,4026,6,6329,8,1
17,10650,11,100,1150,45,42,58,4280,6,6329,8,1
2,1650,2,750,900,45,42,58,2455,6,6329,8,1
2,1450,2,650,750,45,42,58,3608,6,6329,8,1
3,2600,2,750,1000,45,42,58,2934,6,6329,8,1
7,2375,6,200,475,56,58,100,6662,6,4198,61,1
3,5485,2,1095,2195,45,42,58,2364,6,727,41,1
1,1000,1,1000,1000,45,42,58,2585,6,5736,61,3
2,2100,2,1000,1100,45,42,58,2368,6,5736,61,3
2,1800,2,800,1000,45,42,58,1584,6,5736,61,3
3,1753,3,619,1127,45,42,58,5461,6,5736,61,3
