total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_partners,total_busy_partners,total_outstanding_orders,time_diff,market_id,store_id,store_primary_category,order_protocol
2,975,2,280,695,5,6,9,4821,5,1046,15,4
6,2114,3,200,440,12,12,12,1738,5,1046,15,4
5,1590,4,200,440,3,4,4,2824,5,1046,15,4
1,990,1,940,940,5,4,5,3057,5,1046,15,4
4,1309,4,190,659,6,7,6,2513,5,1046,15,4
2,1120,1,410,410,21,10,21,2897,5,1046,15,4
3,3137,2,825,1036,29,31,46,4120,5,1046,15,4
4,1364,4,180,440,11,10,12,3376,5,1046,15,4
1,990,1,940,940,15,9,12,2994,5,1046,15,4
3,2397,3,499,999,25,24,37,3110,5,4616,31,1
4,4096,4,799,1199,16,14,18,3827,5,4616,31,1
6,4347,4,150,1499,9,9,11,1817,5,4616,31,1
5,3048,3,150,1399,30,28,47,3860,5,4616,31,1
4,5296,4,1199,1499,7,7,7,3136,5,4616,31,1
3,2148,2,150,999,16,12,14,1942,5,4616,1,1
1,999,1,999,999,12,10,23,2837,5,4616,31,1
1,999,1,999,999,27,26,36,4135,5,4616,31,1
3,3297,3,899,1199,27,22,34,4503,5,4616,31,1
2,3390,2,1495,1895,12,6,9,2075,5,4419,6,1
3,4285,3,695,2895,26,19,32,3348,5,4419,6,1
1,939,1,690,849,26,20,37,2682,5,4419,6,1
2,4590,1,1895,1895,14,16,11,2454,5,4419,6,1
2,1390,1,695,695,18,14,20,2313,5,4419,6,1
2,2190,2,795,1395,20,19,34,5959,5,4419,6,1
3,1999,2,499,750,22,13,22,2812,5,536,36,3
4,4396,2,1099,1099,19,19,21,1732,5,536,36,3
4,4947,3,1099,1299,16,16,17,1900,5,536,36,3
1,1299,1,1099,1099,23,7,5,2103,5,536,36,3
4,2647,4,399,1099,14,13,16,1691,5,536,36,3
1,1299,1,1099,1099,14,15,19,2299,5,536,36,3
1,1099,1,1099,1099,12,6,6,1669,5,536,36,3
1,1678,1,1242,1387,23,18,24,1555,5,536,36,3
2,2224,2,699,1525,22,16,27,2740,5,536,36,3
1,1525,1,1525,1525,15,14,17,3917,5,536,36,3
5,3054,5,300,950,26,17,18,2480,5,536,36,3
3,3497,3,1099,1299,21,15,23,1992,5,536,36,3
1,1299,1,1099,1099,22,15,15,1383,5,536,36,3
3,2548,2,350,1099,20,22,22,3484,5,536,36,3
1,1099,1,1099,1099,17,17,11,3201,5,536,36,3
2,1149,2,399,750,26,19,23,1588,5,536,36,3
1,1499,1,1299,1299,20,16,24,1972,5,536,36,3
2,1349,2,599,750,18,18,19,1496,5,536,36,3
2,2575,2,1050,1525,24,23,38,3562,5,536,36,3
1,1525,1,1525,1525,14,12,12,1293,5,536,36,3
1,1425,1,1425,1425,8,6,6,1269,5,536,36,3
1,1099,1,1099,1099,12,12,11,1445,5,536,36,3
1,999,1,999,999,15,16,15,1984,5,4616,31,1
2,1798,2,799,999,22,16,24,2102,5,4616,31,1
4,4796,4,799,1699,15,12,14,3051,5,4616,31,1
4,3247,4,150,1199,21,14,23,3490,5,4616,31,1
2,1205,2,455,750,12,9,13,1554,5,536,36,3
2,1175,2,225,950,16,30,18,1888,5,536,36,3
3,3030,3,455,1525,27,19,23,2054,5,536,36,3
3,1078,3,80,399,18,12,10,2137,5,536,36,3
4,4399,3,599,1425,15,15,23,2262,5,536,36,3
1,750,1,750,750,21,18,17,2139,5,536,36,3
4,3247,4,399,1299,21,13,12,1654,5,536,36,3
3,3001,3,750,1050,26,25,36,3276,5,536,36,3
