total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_partners,total_busy_partners,total_outstanding_orders,time_diff,market_id,store_id,store_primary_category,order_protocol
1,1900,1,1400,1400,1,2,2,4024,2,6346,49,2
4,4771,3,820,1604,8,6,18,1586,2,6346,38,3
1,1220,1,825,825,21,21,20,2884,2,2199,71,5
2,2400,2,600,1800,94,92,149,3281,2,6174,41,1
4,2300,3,400,900,32,30,37,2273,2,212,58,2
4,4800,2,675,1325,8,8,8,2396,2,5770,49,4
2,1845,2,600,1245,33,23,30,1727,2,4487,48,3
2,2095,2,850,1245,39,59,36,1795,2,4487,42,5
3,3350,3,1050,1150,57,85,135,5194,2,3982,15,1
2,2598,2,1099,1299,16,7,12,2295,2,536,71,1
2,1087,2,389,479,18,20,19,1889,2,1112,61,3
2,1588,2,479,479,3,3,5,3137,2,1112,61,3
2,1017,2,99,699,49,47,74,3716,2,1112,61,3
2,1558,2,479,769,11,23,13,1842,2,1112,61,3
5,3403,5,389,479,44,41,65,3245,2,1112,61,3
3,1517,3,329,479,53,39,46,1727,2,1112,61,3
4,2805,4,169,1008,46,44,59,3310,2,1112,61,3
2,1638,2,479,849,40,37,51,2338,2,1112,61,3
2,1863,2,464,566,55,49,91,2391,2,1112,61,3
4,2805,4,169,1008,44,44,62,3310,2,1112,61,3
4,2805,4,169,1008,44,43,63,3310,2,1112,61,3
2,1528,2,459,789,34,33,35,2023,2,1112,61,3
2,1188,2,389,799,34,35,41,2446,2,1112,61,3
2,1158,2,389,769,5,4,5,3123,2,1112,61,3
12,9518,4,479,649,37,33,35,2780,2,1112,61,3
4,1796,2,99,479,27,16,16,1499,2,1112,61,3
2,1588,2,479,479,45,42,58,1715,2,1112,61,3
4,1716,4,189,799,13,15,17,2816,2,1112,61,3
12,9038,7,389,799,45,43,64,2485,2,1112,61,3
2,998,2,389,389,49,46,54,2693,2,1112,61,3
2,1007,2,179,699,37,37,44,2026,2,1112,61,3
5,3084,5,389,699,43,34,50,1767,2,1112,61,3
6,4518,4,213,639,41,39,51,2910,2,1112,61,3
1,1008,1,1008,1008,8,8,6,2768,2,1112,61,3
3,1955,3,369,669,36,36,52,1892,2,1112,61,3
1,1008,1,479,479,35,34,44,3115,2,1112,61,3
1,799,1,479,479,19,17,17,3146,2,1112,61,3
5,5482,4,187,1703,67,62,90,2943,2,3963,8,1
1,1400,1,1400,1400,98,73,122,2837,2,3963,8,1
2,2800,2,1400,1400,115,64,92,2432,2,3963,8,1
1,1400,1,1400,1400,71,93,85,2576,2,3963,8,1
